"city","state","lon","lat"
"Portsmouth","NH",-71.0625,43.0625
"Holtsville","NY",-72.6875,40.9375
"Agawam","MA",-72.5625,42.0625
"Amherst","MA",-72.5625,42.4375
"Barre","MA",-72.0625,42.4375
"Belchertown","MA",-72.4375,42.3125
"Blandford","MA",-72.9375,42.1875
"Bondsville","MA",-72.3125,42.1875
"Brimfield","MA",-72.1875,42.1875
"Chester","MA",-73.0625,42.3125
"Chesterfield","MA",-72.8125,42.4375
"Chicopee","MA",-72.5625,42.1875
"Cummington","MA",-72.9375,42.4375
"Easthampton","MA",-72.6875,42.3125
"East Longmeadow","MA",-72.5625,42.0625
"East Otis","MA",-73.0625,42.1875
"Feeding Hills","MA",-72.6875,42.0625
"Gilbertville","MA",-72.1875,42.3125
"Goshen","MA",-72.8125,42.4375
"Granby","MA",-72.5625,42.3125
"Granville","MA",-72.9375,42.0625
"Hadley","MA",-72.5625,42.3125
"Hampden","MA",-72.4375,42.0625
"Hardwick","MA",-72.1875,42.3125
"Hatfield","MA",-72.5625,42.4375
"Haydenville","MA",-72.6875,42.4375
"Holyoke","MA",-72.5625,42.1875
"Huntington","MA",-72.9375,42.3125
"Leeds","MA",-72.6875,42.3125
"Leverett","MA",-72.4375,42.4375
"Ludlow","MA",-72.4375,42.1875
"Monson","MA",-72.3125,42.0625
"North Amherst","MA",-72.6875,42.3125
"Northampton","MA",-72.6875,42.3125
"Florence","MA",-72.6875,42.3125
"North Hatfield","MA",-72.6875,42.4375
"Oakham","MA",-72.0625,42.3125
"Palmer","MA",-72.3125,42.1875
"Plainfield","MA",-72.9375,42.5625
"Russell","MA",-72.8125,42.1875
"Shutesbury","MA",-72.4375,42.4375
"Southampton","MA",-72.6875,42.1875
"South Barre","MA",-72.1875,42.4375
"South Hadley","MA",-72.5625,42.1875
"Southwick","MA",-72.8125,42.0625
"Thorndike","MA",-72.3125,42.1875
"Three Rivers","MA",-72.3125,42.1875
"Wales","MA",-72.1875,42.0625
"Ware","MA",-72.3125,42.3125
"Warren","MA",-72.1875,42.1875
"West Chesterfield","MA",-72.9375,42.4375
"Westfield","MA",-72.8125,42.1875
"West Hatfield","MA",-72.6875,42.4375
"West Springfield","MA",-72.6875,42.0625
"West Warren","MA",-72.1875,42.1875
"Whately","MA",-72.6875,42.4375
"Wheelwright","MA",-72.1875,42.3125
"Wilbraham","MA",-72.4375,42.1875
"Williamsburg","MA",-72.8125,42.4375
"Woronoco","MA",-72.8125,42.1875
"Worthington","MA",-72.9375,42.4375
"Springfield","MA",-72.5625,42.1875
"Longmeadow","MA",-72.5625,42.0625
"Indian Orchard","MA",-72.5625,42.1875
"Pittsfield","MA",-73.3125,42.4375
"Adams","MA",-73.0625,42.5625
"Ashley Falls","MA",-73.3125,42.0625
"Becket","MA",-73.0625,42.3125
"Berkshire","MA",-73.1875,42.4375
"Cheshire","MA",-73.1875,42.5625
"Dalton","MA",-73.0625,42.4375
"Glendale","MA",-73.3125,42.3125
"Great Barrington","MA",-73.3125,42.1875
"Sheffield","MA",-73.3125,42.1875
"Hinsdale","MA",-73.0625,42.4375
"Housatonic","MA",-73.3125,42.3125
"Lanesboro","MA",-73.1875,42.5625
"Lee","MA",-73.1875,42.3125
"Lenox","MA",-73.3125,42.3125
"Lenox Dale","MA",-73.1875,42.3125
"Middlefield","MA",-73.0625,42.3125
"Mill River","MA",-73.1875,42.1875
"Monterey","MA",-73.1875,42.1875
"North Adams","MA",-73.0625,42.6875
"North Egremont","MA",-73.4375,42.1875
"Otis","MA",-73.0625,42.1875
"Richmond","MA",-73.3125,42.3125
"Sandisfield","MA",-73.0625,42.0625
"Savoy","MA",-73.0625,42.5625
"South Egremont","MA",-73.4375,42.0625
"Southfield","MA",-73.1875,42.0625
"South Lee","MA",-73.3125,42.3125
"Stockbridge","MA",-73.3125,42.3125
"Tyringham","MA",-73.1875,42.1875
"West Stockbridge","MA",-73.3125,42.3125
"Williamstown","MA",-73.1875,42.6875
"Windsor","MA",-73.0625,42.4375
"Greenfield","MA",-72.5625,42.5625
"Ashfield","MA",-72.8125,42.5625
"Athol","MA",-72.1875,42.5625
"Bernardston","MA",-72.5625,42.6875
"Buckland","MA",-72.8125,42.5625
"Charlemont","MA",-72.9375,42.6875
"Colrain","MA",-72.6875,42.6875
"Conway","MA",-72.6875,42.5625
"Deerfield","MA",-72.5625,42.5625
"Drury","MA",-72.9375,42.6875
"Erving","MA",-72.4375,42.5625
"Heath","MA",-72.8125,42.6875
"Lake Pleasant","MA",-72.5625,42.5625
"Turners Falls","MA",-72.5625,42.5625
"Monroe Bridge","MA",-72.9375,42.6875
"Montague","MA",-72.5625,42.5625
"Northfield","MA",-72.5625,42.5625
"New Salem","MA",-72.3125,42.4375
"Orange","MA",-72.3125,42.5625
"Petersham","MA",-72.1875,42.4375
"Rowe","MA",-72.9375,42.6875
"Royalston","MA",-72.1875,42.6875
"Shattuckville","MA",-72.5625,42.5625
"Shelburne Falls","MA",-72.6875,42.5625
"South Deerfield","MA",-72.5625,42.4375
"Sunderland","MA",-72.5625,42.4375
"Warwick","MA",-72.3125,42.6875
"Wendell","MA",-72.4375,42.5625
"Wendell Depot","MA",-72.3125,42.5625
"Fitchburg","MA",-71.8125,42.5625
"Westborough","MA",-71.5625,42.3125
"Ashburnham","MA",-71.9375,42.6875
"Ashby","MA",-71.8125,42.6875
"Ayer","MA",-71.5625,42.5625
"Devens","MA",-71.5625,42.5625
"Baldwinville","MA",-72.0625,42.5625
"East Templeton","MA",-72.0625,42.5625
"Gardner","MA",-71.9375,42.5625
"Groton","MA",-71.5625,42.5625
"Harvard","MA",-71.5625,42.5625
"Hubbardston","MA",-71.9375,42.4375
"Leominster","MA",-71.8125,42.5625
"Littleton","MA",-71.4375,42.5625
"Lunenburg","MA",-71.6875,42.5625
"Pepperell","MA",-71.5625,42.6875
"Shirley","MA",-71.6875,42.5625
"Still River","MA",-71.5625,42.4375
"Templeton","MA",-72.0625,42.5625
"Townsend","MA",-71.6875,42.6875
"West Groton","MA",-71.4375,42.4375
"Westminster","MA",-71.9375,42.5625
"West Townsend","MA",-71.6875,42.6875
"Winchendon","MA",-72.0625,42.6875
"Winchendon Springs","MA",-71.9375,42.3125
"Auburn","MA",-71.8125,42.1875
"Berlin","MA",-71.6875,42.4375
"Blackstone","MA",-71.5625,42.0625
"Boylston","MA",-71.6875,42.3125
"Brookfield","MA",-72.0625,42.1875
"Charlton","MA",-71.9375,42.1875
"Charlton City","MA",-72.0625,42.0625
"Charlton Depot","MA",-71.9375,42.3125
"Clinton","MA",-71.6875,42.4375
"East Brookfield","MA",-72.0625,42.1875
"Douglas","MA",-71.6875,42.0625
"East Princeton","MA",-71.9375,42.3125
"Fiskdale","MA",-72.0625,42.1875
"Grafton","MA",-71.6875,42.1875
"Holden","MA",-71.8125,42.3125
"Holland","MA",-72.1875,42.0625
"Jefferson","MA",-71.8125,42.3125
"Lancaster","MA",-71.6875,42.4375
"Leicester","MA",-71.9375,42.1875
"Linwood","MA",-71.9375,42.3125
"Manchaug","MA",-71.9375,42.3125
"Millbury","MA",-71.8125,42.1875
"Millville","MA",-71.5625,42.0625
"New Braintree","MA",-72.0625,42.3125
"Northborough","MA",-71.6875,42.3125
"Northbridge","MA",-71.6875,42.1875
"North Brookfield","MA",-72.0625,42.3125
"North Grafton","MA",-71.6875,42.1875
"North Oxford","MA",-71.9375,42.1875
"North Uxbridge","MA",-71.9375,42.3125
"Oxford","MA",-71.8125,42.0625
"Princeton","MA",-71.9375,42.4375
"Rochdale","MA",-71.9375,42.1875
"Rutland","MA",-71.9375,42.4375
"Shrewsbury","MA",-71.6875,42.3125
"Southbridge","MA",-72.0625,42.0625
"South Grafton","MA",-71.6875,42.1875
"South Lancaster","MA",-71.6875,42.4375
"Spencer","MA",-71.9375,42.1875
"Sterling","MA",-71.8125,42.4375
"Sturbridge","MA",-72.0625,42.0625
"Upton","MA",-71.5625,42.1875
"Uxbridge","MA",-71.6875,42.0625
"Webster","MA",-71.8125,42.0625
"Dudley","MA",-71.9375,42.0625
"West Boylston","MA",-71.8125,42.3125
"West Brookfield","MA",-72.1875,42.1875
"West Millbury","MA",-71.9375,42.3125
"Whitinsville","MA",-71.6875,42.0625
"Sutton","MA",-71.8125,42.1875
"Worcester","MA",-71.9375,42.3125
"Cherry Valley","MA",-71.8125,42.1875
"Paxton","MA",-71.9375,42.3125
"Tolland","MA",-72.9375,42.0625
"Framingham","MA",-71.4375,42.3125
"Village Of Nagog Woods","MA",-71.4375,42.5625
"Boxborough","MA",-71.5625,42.4375
"Acton","MA",-71.4375,42.4375
"Ashland","MA",-71.4375,42.3125
"Bedford","MA",-71.3125,42.4375
